read	357074	356832636
adjlist	19243	19232371
prepare	376318	272
tarjan	50348	50314084
tarjan	49755	49719381
tarjan	50451	50415963
tarjan	50385	50350417
tarjan	50265	50230235
tarjan	50554	50519021
tarjan	50418	50383206
tarjan	51159	51123667
tarjan	50625	50589729
tarjan	50997	50961979
total	881279	235
